:START_ID(Product),:END_ID(Color)
9a1816f3-d970-4e57-98f8-1fea44cbaaa4,Đen
8da6bfb6-54b7-416d-ade9-9f7cf03aed40,Hồng
96dc6243-07f0-4628-8423-06f0333cd747,Đen
1dafee5f-abc5-4844-90f7-d9ce1c7f91a9,Xanh
4a05e731-2a18-497a-b71e-518ea78db389,Đen
cc8b47cf-6b9e-43c0-90e8-c4096f3b8191,Đỏ
c99dfedd-20ff-4eac-8fb8-560608a0ed94,Cam
88ddbb8a-ca2b-4dde-aeff-7114ffbaf839,Trắng
cba08009-bcea-4933-858f-bc894d4e033b,Đen
f597b9c4-1461-481c-a4f9-e03f5806ac20,Vàng
87e3b846-96af-4320-b0ac-e0f51d7742f2,Đỏ
2a12790c-6f37-4759-aa5d-e878b02f8934,Đỏ
34945f80-4c6c-4a23-aacb-34e557f12342,Đen
9455d771-ab9e-48a3-aaca-7e65dd79a13f,Trắng
06e24ae9-5f8a-4aad-8d3a-60903cde8c50,Trắng
bd9e625c-be3d-4cef-a6a2-fb70bdf129f5,Trắng
cacad43c-37c5-49e6-a349-a24f31872727,Đen
0fb8776c-b5f1-4421-b319-70b3c326e611,Đỏ
45e30706-bf02-42a3-9840-7d5800ebdd2f,Hồng
eedc1337-db95-44d0-b738-a136fd3f5dce,Đen
e3a61dab-7612-4309-8964-5f4f741ac1ce,Đen
090d6723-e64a-40a4-b1f0-41f0d579b52f,Đỏ
b8e739e2-786c-46f0-b850-2002e3f35508,Đen
0497e9b0-4c6c-423a-aa02-646414f12651,Nâu
0d186e3f-6f61-4ac4-9b53-e10cd8963a6c,Đỏ
4681247a-371c-4c8c-a554-e141dc804a45,Đen
c08b2e98-b2cf-40ad-8855-ccf915af8913,Đỏ
f8e536bd-722f-4beb-8269-06946cbf3755,Vàng
62781e26-2387-438b-8c7a-613eed8645c3,Đen
0078522e-a5e6-416e-92b6-da62ee81de62,Đỏ
71072bb6-efbe-48a2-a744-ef38b78e2fad,Đen
e536323a-f462-46f3-901b-4e122eabaf9e,Hồng
d9aef521-b246-4e86-a4f7-4839d2016851,Trắng
0b6cbcda-ae60-4a09-ac47-d6c9b354fd94,Nâu
5a7c3df7-1c2b-494b-a3c9-e4f7de18e038,Đỏ
76ec76af-a4b2-4680-971c-89c9b46f5842,Đỏ
d4c2c984-9b85-4d99-908e-33b3cc14a537,Trắng
80b26e0f-d653-4f10-bd45-efd7302610b4,Cam
34e692ad-4f7a-4cd7-9c39-8dcdecaa4fe9,Trắng
d2595867-b87b-4458-b577-55be8b682045,Đỏ
20692f0f-7f66-4648-95c9-118c2b7a0387,Trắng
9bbfd06e-5d1f-4074-a67e-afe04f943eea,Đen
a090a792-e669-4b9e-8646-f878fd26e400,Đỏ
8a215644-0dd7-4676-9817-ebcd282c0632,Đen
942e3a7c-a9b3-4d61-9b07-e4c5fc5c5dab,Xanh
76daa978-72ba-472e-bab5-3a1d2f94c015,Cam
6e2f8d31-8393-4946-a1ec-065b1c1f2d81,Xanh
cb337696-f9c9-49d3-8c4a-886adebcde88,Xanh
b28bcb4e-8639-4297-a5c6-79951e9bbdff,Đỏ
647717f6-f7c0-43f9-baba-e55e58470079,Nâu
23dcfc9a-99da-45e1-80ed-dd6f1a3af48b,Nâu
19448834-c9d4-4f44-8ece-02b33246194c,Đen
7b696bf7-1486-4923-8155-84c42a16e149,Đỏ
0d7eccd0-85de-47d1-860f-7e8fed6d4ed8,Xám
4f24a8af-ad44-4cf5-8156-b5bb98044c05,Cam
45ae887b-7de8-4e83-b4fc-ebae438a079a,Đỏ
f2cb34da-b342-4040-8596-c16b8a303cfc,Xanh
3719b336-6b16-474b-bcb5-7033fac7bb01,Đen
96226bab-857c-416e-9864-5ac40f2030d3,Đỏ
afd7375d-174a-4994-a2e8-671e6c69a1a1,Hồng
d99b3caf-9d76-4e51-bf3f-92e86ced3ad7,Xanh
8cc36dee-a753-4b51-9acf-645f5819ff6c,Đen
d244cba2-b6f2-4e6b-a740-3a67de122841,Đỏ
14acc526-fe7d-44a2-a9ed-6720a89146fd,Đen
9c22db7e-dc9b-44bd-88cc-dd27387663b9,Đỏ
f13f37aa-3127-4c39-b42f-fd51d68b1977,Cam
171a5686-1af0-47b6-b6e9-d104592f8fae,Đỏ
5ce9c832-cc22-456f-b643-c91a0a1a3d6c,Trắng
dec98956-6046-477c-ae86-84c11c0a68ed,Đỏ
d56101d5-1045-40b4-b831-4f299a74bc41,Đen
6bc1e017-3961-4c84-ae9e-ffc1c0162c55,Vàng
1d3d130f-43ab-4c60-bf53-be13957d8d90,Đỏ
c22abcce-1b2e-40f8-ae72-e15339c59285,Đỏ
01f6b5e2-5c4b-4e14-aff0-3f8fa18df0c8,Đỏ
63d70de0-cd38-4762-a807-ae14ac9dfdee,Xanh
9368ec18-815b-40ec-8204-3bacb0c3cfb2,Đỏ
9c829836-349e-4e71-bf1d-da8c32631706,Đen
e2c1f378-cf56-4174-b74a-51849963d6d5,Đỏ
0f49e969-dbed-46f8-8959-f898afe95188,Đen
01a5cdbb-43de-4316-b5cd-d71bff4c007f,Đen
750fd86a-aadf-4e87-9803-308235e23599,Đỏ
8cda470a-8445-40a4-9c89-7451e2c9a4a9,Đỏ
a3f664bf-5de4-46e7-b3ef-8f289434d40b,Trắng
023ff8f2-ab76-4ae9-878a-21dda966d674,Xanh
1c1129cf-f257-4be2-a3fa-4b217c23b7c2,Đỏ
23f76cef-d67a-4dc6-ab27-4cff1aa60428,Đen
caa77126-499f-441e-8f7a-5f5bbdad385f,Đỏ
e6ba918a-899a-4ee9-8862-6963391a6029,Đỏ
933e185c-8897-451f-84f4-a957ab6016c8,Nâu
315a53d9-e101-4b3a-9370-dbe1247a8eb5,Đỏ
4f87b8cd-4a38-4fd4-86d2-66082813c223,Nâu
60830363-3fb8-4a68-bfc7-97767e35f4e0,Xanh
e84953ca-2f63-44c0-9d5a-51dfef105b1a,Đen
77703e0e-a2ec-47dc-b23b-98f931faafd6,Đỏ
aef88e0c-6490-478f-b50f-964bf6e6209a,Đỏ
b4ea32c0-1222-497f-8477-f8059d9f6d95,Hồng
e138e40c-1608-432e-848a-0687c3f92c42,Trắng
f39a875d-9c88-4fbd-894d-b0657bbf973b,Đỏ
fc13f9c1-6cac-4efc-ac93-1060463c32b5,Xám
4bfe1986-7f47-4e1e-bc90-c9d2693e526c,Đỏ
bc9eb68d-a731-4c82-ac21-a75a7f3239e8,Đỏ
2e438431-e0d4-42be-b0a0-19ccfb72d7ba,Đỏ
3ed0caed-e669-409f-a162-2ac2cc456f7b,Đen
0bd40ea5-5be2-4435-921e-e94282ff0946,Đỏ
5d51cfaa-7829-4179-9d67-bc5236728d5d,Cam
